"","probability_first_option_wins","size","probability"
"119",0.34,366,0.417877743122725
"120",0.34,369,0.41833804175489
"121",0.34,372,0.41879617450902
"122",0.34,375,0.419252171302358
"123",0.34,378,0.4197060613766
"124",0.34,381,0.420157873318841
"125",0.34,384,0.420607635081211
"126",0.34,387,0.421055374000308
"127",0.34,390,0.421501116815973
"128",0.34,393,0.421944889688578
"129",0.34,396,0.422386718216827
"130",0.34,399,0.422826627453482
"131",0.34,402,0.423264641922078
"132",0.34,405,0.423700785631934
"133",0.34,408,0.424135082092334
"134",0.34,411,0.424567554327352
"135",0.34,414,0.424998224889964
"136",0.34,417,0.425427115874606
"137",0.34,420,0.425854248929911
"138",0.34,423,0.426279645271194
"139",0.34,426,0.426703325692674
"140",0.34,429,0.427125310578131
"141",0.34,432,0.427545619912997
"142",0.34,435,0.427964273294376
"143",0.34,438,0.428381289941223
"144",0.34,441,0.428796688705258
"145",0.34,444,0.429210488079397
"146",0.34,447,0.429622706207913
"147",0.34,450,0.430033360895995
"148",0.34,453,0.430442469616207
"149",0.34,456,0.43085004951972
"150",0.34,459,0.431256117442947
"151",0.34,462,0.431660689915846
"152",0.34,465,0.43206378316912
"153",0.34,468,0.43246541314252
"154",0.34,471,0.432865595490863
"155",0.34,474,0.433264345592695
"156",0.34,477,0.433661678555034
"157",0.34,480,0.434057609221062
"158",0.34,483,0.434452152177203
"159",0.34,486,0.434845321756753
"160",0.34,489,0.435237132048956
"161",0.34,492,0.435627596902906
"162",0.34,495,0.436016729932932
"163",0.34,498,0.436404544525244
"164",0.34,501,0.436791053842535
"165",0.34,504,0.437176270829104
"166",0.34,507,0.437560208216066
"167",0.34,510,0.437942878525793
"168",0.34,513,0.438324294077374
"169",0.34,516,0.438704466990283
"170",0.34,519,0.439083409189467
"171",0.34,522,0.439461132409258
"172",0.34,525,0.439837648197622
"173",0.34,528,0.440212967920616
"174",0.34,531,0.440587102766203
"175",0.34,534,0.440960063747559
"176",0.34,537,0.44133186170753
"177",0.34,540,0.441702507321411
"178",0.34,543,0.442072011101949
"179",0.34,546,0.442440383401471
"180",0.34,549,0.44280763441536
"181",0.34,552,0.443173774186267
"182",0.34,555,0.443538812605954
"183",0.34,558,0.443902759419516
"184",0.34,561,0.444265624228309
"185",0.34,564,0.444627416492013
"186",0.34,567,0.444988145532027
"187",0.34,570,0.445347820534689
"188",0.34,573,0.445706450553247
"189",0.34,576,0.446064044511138
"190",0.34,579,0.446420611203834
"191",0.34,582,0.4467761593024
"192",0.34,585,0.447130697354834
"193",0.34,588,0.447484233789467
"194",0.34,591,0.447836776915877
"195",0.34,594,0.448188334929412
"196",0.34,597,0.448538915910786
"197",0.34,600,0.448888527830681
"198",0.34,603,0.449237178550047
"199",0.34,606,0.449584875822876
"200",0.34,609,0.449931627298249
"201",0.34,612,0.450277440522665
"202",0.34,615,0.450622322940683
"203",0.34,618,0.450966281898668
"204",0.34,621,0.45130932464458
"205",0.34,624,0.451651458331637
"206",0.34,627,0.451992690018655
"207",0.34,630,0.452333026672399
"208",0.34,633,0.452672475169657
"209",0.34,636,0.453011042297507
"210",0.34,639,0.453348734755817
"211",0.34,642,0.453685559159655
"212",0.34,645,0.454021522038878
"213",0.34,648,0.454356629841673
"214",0.34,651,0.45469088893392
"215",0.34,654,0.455024305601621
"216",0.34,657,0.45535688605348
"217",0.34,660,0.45568863641998
"218",0.34,663,0.456019562756627
"219",0.34,666,0.456349671043701
"220",0.34,669,0.456678967188765
"221",0.34,672,0.457007457027299
"222",0.34,675,0.457335146324022
"223",0.34,678,0.457662040773453
"224",0.34,681,0.457988146003535
"225",0.34,684,0.4583134675724
"226",0.34,687,0.458638010974086
"227",0.34,690,0.458961781636916
"228",0.34,693,0.459284784924596
"229",0.34,696,0.459607026139224
"230",0.34,699,0.459928510519293
"231",0.34,702,0.46024924324427
"232",0.34,705,0.460569229432513
"233",0.34,708,0.460888474143115
"234",0.34,711,0.461206982377444
"235",0.34,714,0.461524759080912
"236",0.34,717,0.461841809140997
"237",0.34,720,0.462158137391394
"238",0.34,723,0.462473748609564
"239",0.34,726,0.462788647521145
"240",0.34,729,0.463102838798187
"241",0.34,732,0.463416327060898
"242",0.34,735,0.463729116878361
"243",0.34,738,0.46404121276932
"244",0.34,741,0.4643526192023
"245",0.34,744,0.464663340598416
"246",0.34,747,0.464973381330155
"247",0.34,750,0.465282745720694
"248",0.34,753,0.465591438050268
"249",0.34,756,0.465899462549647
"250",0.34,759,0.466206823407289
"251",0.34,762,0.466513524764046
"252",0.34,765,0.46681957071949
"253",0.34,768,0.467124965328877
"254",0.34,771,0.467429712603903
"255",0.34,774,0.467733816515266
"256",0.34,777,0.468037280992705
"257",0.34,780,0.468340109924717
"258",0.34,783,0.468642307158514
"259",0.34,786,0.468943876502819
"260",0.34,789,0.469244821727643
"261",0.34,792,0.46954514656261
"262",0.34,795,0.469844854702232
"263",0.34,798,0.470143949800963
"264",0.34,801,0.470442435477356
"265",0.34,804,0.470740315313598
"266",0.34,807,0.471037592856267
"267",0.34,810,0.471334271615963
"268",0.34,813,0.471630355068685
"269",0.34,816,0.47192584665682
"270",0.34,819,0.472220749786696
"271",0.34,822,0.472515067833946
"272",0.34,825,0.472808804139207
"273",0.34,828,0.4731019620109
"274",0.34,831,0.473394544725996
"275",0.34,834,0.473686555528804
"276",0.34,837,0.473977997633644
"277",0.34,840,0.474268874222448
"278",0.34,843,0.474559188448844
"279",0.34,846,0.474848943433757
"280",0.34,849,0.47513814227057
"281",0.34,852,0.475426788022645
"282",0.34,855,0.47571488372507
"283",0.34,858,0.476002432383275
"284",0.34,861,0.476289436975947
"285",0.34,864,0.47657590045287
"286",0.34,867,0.476861825737796
"287",0.34,870,0.477147215725772
"288",0.34,873,0.477432073286879
"289",0.34,876,0.477716401263902
"290",0.34,879,0.478000202473554
"291",0.34,882,0.47828347970716
"292",0.34,885,0.47856623573084
"293",0.34,888,0.478848473285983
"294",0.34,891,0.47913019508872
"295",0.34,894,0.479411403830288
"296",0.34,897,0.479692102179415
"297",0.34,900,0.479972292779339
"298",0.34,903,0.480251978250722
"299",0.34,906,0.480531161192191
"300",0.34,909,0.48080984417661
"301",0.34,912,0.481088029757019
"302",0.34,915,0.481365720461795
"303",0.34,918,0.48164291879929
"304",0.34,921,0.481919627254916
"305",0.34,924,0.482195848292517
"306",0.34,927,0.482471584354896
"307",0.34,930,0.482746837863711
"308",0.34,933,0.483021611220177
"309",0.34,936,0.483295906805121
"310",0.34,939,0.483569726978217
"311",0.34,942,0.483843074079863
"312",0.34,945,0.484115950429985
"313",0.34,948,0.484388358330407
"314",0.34,951,0.484660300061379
"315",0.34,954,0.484931777886428
"316",0.34,957,0.485202794047276
"317",0.34,960,0.485473350771112
"318",0.34,963,0.485743450262385
"319",0.34,966,0.486013094709913
"320",0.34,969,0.486282286283923
"321",0.34,972,0.486551027136998
"322",0.34,975,0.486819319402473
"323",0.34,978,0.48708716519923
"324",0.34,981,0.487354566625836
"325",0.34,984,0.48762152576675
"326",0.34,987,0.487888044687638
"327",0.34,990,0.488154125437848
"328",0.34,993,0.488419770050078
"329",0.34,996,0.488684980541892
"330",0.34,999,0.488949758913816
"331",0.34,1002,0.489214107151143
"332",0.34,1005,0.489478027222784
"333",0.34,1008,0.489741521082225
"334",0.34,1011,0.490004590667648
"335",0.34,1014,0.490267237902427
"336",0.34,1017,0.490529464693911
"337",0.34,1020,0.490791272935907
"338",0.34,1023,0.491052664506028
"339",0.34,1026,0.49131364126886
"340",0.34,1029,0.491574205074177
"341",0.34,1032,0.491834357755361
"342",0.34,1035,0.492094101135319
"343",0.34,1038,0.492353437020558
"344",0.34,1041,0.492612367204351
"345",0.34,1044,0.492870893466521
"346",0.34,1047,0.493129017573355
"347",0.34,1050,0.493386741277969
"348",0.34,1053,0.49364406631926
"349",0.34,1056,0.493900994424235
"350",0.34,1059,0.494157527307216
"351",0.34,1062,0.494413666668239
"352",0.34,1065,0.494669414195571
"353",0.34,1068,0.494924771565509
"354",0.34,1071,0.495179740440564
"355",0.34,1074,0.49543432247141
"356",0.34,1077,0.495688519298262
"357",0.34,1080,0.495942332547214
"358",0.34,1083,0.496195763833041
"359",0.34,1086,0.496448814758699
"360",0.34,1089,0.496701486916271
"361",0.34,1092,0.496953781885106
"362",0.34,1095,0.497205701233859
"363",0.34,1098,0.497457246519865
"364",0.34,1101,0.497708419289414
"365",0.34,1104,0.497959221077349
"366",0.34,1107,0.498209653407624
"367",0.34,1110,0.498459717792572
"368",0.34,1113,0.498709415735467
"369",0.34,1116,0.498958748727828
