"","probability_first_option_wins","size","probability"
"1",0.27,12,0.235801078675712
"2",0.27,20,0.257986999737583
"3",0.27,28,0.273877996352179
"4",0.27,36,0.286329696881996
"5",0.27,44,0.296634323034093
"6",0.27,52,0.305461083355105
"7",0.27,60,0.313203406766986
"8",0.27,68,0.320112816680227
"9",0.27,76,0.326360408282043
"10",0.27,84,0.332068211497475
"11",0.27,92,0.337326563413766
"12",0.27,100,0.342204374733492
"13",0.27,108,0.34675552165551
"14",0.27,116,0.35102299993863
"15",0.27,124,0.355041723347802
"16",0.27,132,0.35884046725556
"17",0.27,140,0.362443254389515
"18",0.27,148,0.365870365601636
"19",0.27,156,0.369139091993542
"20",0.27,164,0.372264304541591
"21",0.27,172,0.375258892328242
"22",0.27,180,0.378134104459381
"23",0.27,188,0.380899820230761
"24",0.27,196,0.383564765057661
"25",0.27,204,0.38613668486017
"26",0.27,212,0.388622488240499
"27",0.27,220,0.391028363412348
"28",0.27,228,0.393359875138145
"29",0.27,236,0.395622045684782
"30",0.27,244,0.397819422896132
"31",0.27,252,0.399956137793763
"32",0.27,260,0.402035953604649
"33",0.27,268,0.404062307717356
"34",0.27,276,0.406038347775462
"35",0.27,284,0.407966962869754
"36",0.27,292,0.409850810619819
"37",0.27,300,0.41169234078312
"38",0.27,308,0.413493815920259
"39",0.27,316,0.41525732954619
"40",0.27,324,0.416984822136457
"41",0.27,332,0.418678095280025
"42",0.27,340,0.42033882424004
"43",0.27,348,0.421968569128852
"44",0.27,356,0.423568784882402
"45",0.27,364,0.425140830183459
"46",0.27,372,0.426685975465872
"47",0.27,380,0.428205410112849
"48",0.27,388,0.429700248943252
"49",0.27,396,0.431171538069968
"50",0.27,404,0.432620260202287
"51",0.27,412,0.434047339454888
"52",0.27,420,0.435453645715674
"53",0.27,428,0.436839998623452
"54",0.27,436,0.438207171193067
"55",0.27,444,0.439555893126965
"56",0.27,452,0.440886853844887
"57",0.27,460,0.442200705257545
"58",0.27,468,0.443498064315562
"59",0.27,476,0.444779515346008
"60",0.27,484,0.446045612206203
"61",0.27,492,0.447296880266448
"62",0.27,500,0.448533818238466
"63",0.27,508,0.449756899864451
"64",0.27,516,0.450966575478472
"65",0.27,524,0.452163273451427
"66",0.27,532,0.453347401530971
"67",0.27,540,0.454519348082806
"68",0.27,548,0.455679483244515
"69",0.27,556,0.456828159996825
"70",0.27,564,0.457965715161544
"71",0.27,572,0.459092470329549
"72",0.27,580,0.460208732725336
"73",0.27,588,0.461314796016317
"74",0.27,596,0.462410941062776
"75",0.27,604,0.463497436624601
"76",0.27,612,0.464574540017859
"77",0.27,620,0.465642497731339
"78",0.27,628,0.466701546002577
"79",0.27,636,0.467751911358233
"80",0.27,644,0.468793811120691
"81",0.27,652,0.469827453884532
"82",0.27,660,0.470853039960961
"83",0.27,668,0.471870761799115
"84",0.27,676,0.472880804377861
"85",0.27,684,0.473883345580717
"86",0.27,692,0.474878556540553
"87",0.27,700,0.475866601971614
"88",0.27,708,0.476847640478037
"89",0.27,716,0.477821824845902
"90",0.27,724,0.478789302320927
"91",0.27,732,0.479750214864953
"92",0.27,740,0.480704699404729
"93",0.27,748,0.48165288806404
"94",0.27,756,0.482594908380458
"95",0.27,764,0.483530883516489
"96",0.27,772,0.484460932453073
"97",0.27,780,0.485385170177096
"98",0.27,788,0.486303707857484
"99",0.27,796,0.4872166530127
"100",0.27,804,0.48812410966572
"101",0.27,812,0.489026178498759
"102",0.27,820,0.489922956992404
"103",0.27,828,0.490814539562427
"104",0.27,836,0.491701017686153
"105",0.27,844,0.492582480025906
"106",0.27,852,0.493459012545802
"107",0.27,860,0.494330698619145
"108",0.27,868,0.495197619136004
"109",0.27,876,0.496059852599798
"110",0.27,884,0.496917475225537
"111",0.27,892,0.4977705610281
"112",0.27,900,0.498619181909296
"113",0.27,908,0.499463407737811
"114",0.27,916,0.500303306429456
"115",0.27,924,0.501138944022309
"116",0.27,932,0.501970384744534
"117",0.27,940,0.502797691085432
"118",0.27,948,0.503620923859545
"119",0.27,956,0.504440142265862
"120",0.27,964,0.505255403950833
"121",0.27,972,0.506066765062003
"122",0.27,980,0.506874280302512
"123",0.27,988,0.507678002983149
"124",0.27,996,0.508477985071054
"125",0.27,1004,0.509274277238012
"126",0.27,1012,0.510066928904941
"127",0.27,1020,0.510855988283352
"128",0.27,1028,0.511641502419102
"129",0.27,1036,0.512423517232073
"130",0.27,1044,0.513202077551423
"131",0.27,1052,0.513977227156044
"132",0.27,1060,0.514749008805105
"133",0.27,1068,0.515517464275288
"134",0.27,1076,0.516282634389932
"135",0.27,1084,0.517044559051466
"136",0.27,1092,0.517803277271733
"137",0.27,1100,0.518558827196911
"138",0.27,1108,0.519311246140258
"139",0.27,1116,0.520060570600362
"140",0.27,1124,0.520806836296197
"141",0.27,1132,0.521550078182014
"142",0.27,1140,0.522290330477997
"143",0.27,1148,0.523027626685939
"144",0.27,1156,0.523761999617057
"145",0.27,1164,0.52449348140698
"146",0.27,1172,0.52522210354094
"147",0.27,1180,0.525947896867756
"148",0.27,1188,0.526670891622443
"149",0.27,1196,0.527391117442508
"150",0.27,1204,0.528108603384369
"151",0.27,1212,0.528823377939605
"152",0.27,1220,0.529535469052088
"153",0.27,1228,0.530244904134411
"154",0.27,1236,0.530951710079666
"155",0.27,1244,0.531655913277484
"156",0.27,1252,0.532357539625754
"157",0.27,1260,0.533056614549118
"158",0.27,1268,0.533753163005416
"159",0.27,1276,0.534447209500442
"160",0.27,1284,0.535138778104464
"161",0.27,1292,0.535827892452861
"162",0.27,1300,0.536514575770874
"163",0.27,1308,0.537198850874233
"164",0.27,1316,0.537880740180917
"165",0.27,1324,0.538560265728474
"166",0.27,1332,0.539237449173416
"167",0.27,1340,0.539912311806622
"168",0.27,1348,0.540584874565242
"169",0.27,1356,0.541255158032469
"170",0.27,1364,0.541923182453914
"171",0.27,1372,0.542588967746014
"172",0.27,1380,0.543252533495066
"173",0.27,1388,0.543913898978247
"174",0.27,1396,0.544573083156454
"175",0.27,1404,0.545230104697526
"176",0.27,1412,0.545884981968233
"177",0.27,1420,0.546537733050457
"178",0.27,1428,0.547188375747204
"179",0.27,1436,0.54783692758321
"180",0.27,1444,0.548483405817048
"181",0.27,1452,0.549127827446566
"182",0.27,1460,0.549770209210531
"183",0.27,1468,0.550410567598992
"184",0.27,1476,0.551048918856387
"185",0.27,1484,0.551685278986893
"186",0.27,1492,0.552319663762017
"187",0.27,1500,0.552952088720046
